Station,Date,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l)
station3,09-03-2022 04:59,91.7,6.4,0.9,32.83,2.1,237.7,1.56
station3,09-03-2022 05:19,74.2,8.5,0.4,28.47,3.8,117.7,1.11
station3,09-03-2022 05:39,115.1,9.6,1.0,38.63,5.3,223.5,0.93
station3,09-03-2022 05:59,102.5,6.3,0.9,26.87,2.2,242.9,1.93
station3,09-03-2022 06:19,115.5,6.8,0.2,33.9,1.2,272.7,1.28
station3,09-03-2022 06:39,76.7,7.7,0.7,36.66,3.2,280.5,0.85
station3,09-03-2022 06:59,83.6,8.4,1.0,40.22,2.8,260.5,1.31
station3,09-03-2022 07:19,79.2,9.6,0.7,27.29,4.6,235.6,1.73
station3,09-03-2022 07:39,94.2,9.6,1.0,33.19,3.6,277.1,1.34
station3,09-03-2022 07:59,71.9,9.3,0.8,24.8,6.2,133.9,1.72
station3,09-03-2022 08:19,103.7,6.3,0.9,39.74,5.3,252.9,1.87
station3,09-03-2022 08:39,83.8,7.4,1.0,39.28,4.4,175.6,1.33
station3,09-03-2022 08:59,76.8,9.0,0.2,34.27,1.5,259.4,1.72
station3,09-03-2022 09:19,117.5,6.7,0.5,29.92,3.7,107.6,1.15
station3,09-03-2022 09:39,78.9,10.0,0.7,22.78,4.5,225.6,0.8
station3,09-03-2022 09:59,57.7,6.2,0.6,25.36,1.2,111.6,1.85
station3,09-03-2022 10:19,57.7,6.863478357134948,0.6,25.370493881844855,1.2,137.8967083425537,1.11
station3,09-03-2022 10:39,117.0,6.863478357134948,0.7,25.370493881844855,5.322571365346316,137.8967083425537,1.85
station3,09-03-2022 10:59,99.0,6.863478357134948,0.6,25.370493881844855,1.2,137.8967083425537,0.9
station3,09-03-2022 11:19,96.8,9.1,0.3,33.66,1.8,177.5,1.44
station3,09-03-2022 11:39,81.2,8.8,0.4,35.8,4.0,273.3,0.99
station3,09-03-2022 11:59,35.0,8.9,0.3,39.68,4.2,157.3,1.86
station3,09-03-2022 12:19,84.5,6.3,0.7,28.02,5.6,281.4,1.74
station3,09-03-2022 12:39,77.4,7.5,0.9,31.13,3.1,213.0,0.82
station3,09-03-2022 12:59,85.8,7.4,0.4,26.18,1.6,109.4,1.87
station3,09-03-2022 13:19,70.2,9.1,0.8,22.38,3.0,210.8,1.37
station3,09-03-2022 13:39,53.6,8.7,0.9,26.7,1.3,275.1,1.83
station3,09-03-2022 13:59,72.7,7.1,0.4,21.32,5.8,299.6,1.92
station3,09-03-2022 14:19,77.7,6.5,0.2,30.52,3.0,235.4,1.06
station3,09-03-2022 14:39,76.6,7.9,0.6,24.08,4.4,147.3,1.38
station3,09-03-2022 14:59,54.5,8.8,0.7,27.04,1.2,103.8,1.19
station3,09-03-2022 15:19,37.9,7.7,0.7,32.36,1.3,174.8,1.35
station3,09-03-2022 15:39,48.3,7.9,0.6,25.79,1.4,112.6,0.96
station3,09-03-2022 15:59,61.7,8.6,0.7,24.1,2.0,291.7,0.89
station3,09-03-2022 16:19,95.7,8.4,1.0,37.93,1.3,220.5,0.86
station3,09-03-2022 16:39,95.3,6.8,0.3,27.58,2.9,286.7,1.95
station3,09-03-2022 16:59,56.1,7.5,0.8,26.33,6.1,147.4,1.69
station3,09-03-2022 17:19,84.3,7.5,0.7,37.9,1.0,192.7,1.07
station3,09-03-2022 17:39,57.5,8.1,0.7,24.87,2.7,239.9,1.7
station3,09-03-2022 17:59,79.0,8.6,0.3,31.44,5.8,141.1,1.77
station3,09-03-2022 18:19,69.8,6.4,1.0,29.91,2.7,229.4,1.48
station3,09-03-2022 18:39,57.8,8.3,0.4,33.66,3.2,98.6,1.67
station3,09-03-2022 18:59,34.7,7.3,0.8,35.97,3.0,281.1,1.82
station3,09-03-2022 19:19,74.9,7.4,0.5,24.47,3.1,130.4,1.2
station3,09-03-2022 19:39,80.3,6.9,1.0,37.83,1.6,237.1,1.51
station3,09-03-2022 19:59,95.2,7.0,0.8,34.17,5.0,213.6,1.39
station3,09-03-2022 20:19,90.4,7.0,0.3,24.87,5.2,117.0,1.37
station3,09-03-2022 20:39,60.5,7.1,1.0,21.8,2.5,212.1,1.92
station3,09-03-2022 20:59,85.1,7.6,0.7,34.25,2.8,123.5,1.13
station3,09-03-2022 21:19,84.0,9.2,0.6,33.46,5.4,186.5,0.99
station3,09-03-2022 21:39,83.3,9.1,0.9,27.21,2.6,208.7,1.23
station3,09-03-2022 21:59,58.9,6.7,0.3,28.11,1.0,236.2,1.41
station3,09-03-2022 22:19,51.0,8.3,0.8,28.1,5.1,287.3,1.44
station3,09-03-2022 22:39,86.2,6.5,0.5,26.11,5.6,156.1,1.62
station3,09-03-2022 22:59,73.8,8.5,1.0,21.16,1.0,129.7,1.69
station3,09-03-2022 23:19,33.4,7.2,0.5,29.35,2.0,131.4,1.74
station3,09-03-2022 23:39,61.4,6.4,0.9,32.27,1.8,178.2,1.7
station3,09-03-2022 23:59,38.7,6.6,0.9,24.83,5.2,160.5,1.46
station3,10-03-2022 00:19,91.2,8.0,0.9,27.85,5.1,131.3,1.25
station3,10-03-2022 00:39,50.2,7.9,0.8,34.91,4.0,183.4,1.27
station3,10-03-2022 00:59,75.0,9.0,0.5,31.62,4.8,228.9,0.85
station3,10-03-2022 01:19,65.1,7.3,0.9,26.36,3.0,194.4,1.92
station3,10-03-2022 01:39,74.2,8.2,0.4,35.64,5.0,258.8,1.59
station3,10-03-2022 01:59,62.2,8.8,1.0,33.31,4.5,248.6,1.78
station3,10-03-2022 02:19,53.7,6.9,0.3,34.76,5.7,143.8,1.91
station3,10-03-2022 02:39,61.7,7.3,0.8,21.61,5.7,214.5,1.43
station3,10-03-2022 02:59,97.2,8.3,1.0,21.03,3.8,158.9,1.68
station3,10-03-2022 03:19,73.0,6.2,0.7,32.32,2.9,131.8,0.89
station3,10-03-2022 03:39,59.0,8.5,0.8,36.3,4.5,175.5,0.84
station3,10-03-2022 03:59,90.3,7.9,1.0,25.69,3.9,142.9,1.51
station3,10-03-2022 04:19,58.6,9.1,1.0,31.92,6.2,248.2,1.11
station3,10-03-2022 04:39,45.4,6.3,1.0,25.27,6.2,171.8,1.34
station3,10-03-2022 04:59,58.0,6.6,0.7,36.4,5.7,95.2,1.9
station3,10-03-2022 05:19,80.6,6.7,1.0,38.89,2.8,132.5,0.83
station3,10-03-2022 05:39,39.1,8.6,0.8,30.12,6.0,164.8,1.65
station3,10-03-2022 05:59,46.4,8.0,0.2,38.07,1.3,290.9,1.19
station3,10-03-2022 06:19,34.4,8.6,0.6,30.76,6.2,133.8,1.59
station3,10-03-2022 06:39,56.3,8.6,0.5,28.08,2.7,144.9,1.99
station3,10-03-2022 06:59,95.5,9.2,0.7,34.82,2.8,279.4,0.94
station3,10-03-2022 07:19,94.2,6.3,0.6,28.53,2.8,186.4,1.15
station3,10-03-2022 07:39,70.4,6.9,1.0,38.09,6.0,208.9,1.82
station3,10-03-2022 07:59,50.1,7.6,0.8,38.94,4.0,281.9,1.09
station3,10-03-2022 08:19,57.7,6.1,0.2,27.58,4.9,237.5,1.4
station3,10-03-2022 08:39,40.1,9.1,0.9,31.1,4.2,92.1,1.81
station3,10-03-2022 08:59,39.8,8.4,0.8,39.8,4.4,261.1,1.69
station3,10-03-2022 09:19,74.6,6.6,0.9,36.09,3.9,206.7,1.51
station3,10-03-2022 09:39,61.7,9.0,0.6,30.38,2.0,232.0,0.98
station3,10-03-2022 09:59,71.2,8.2,0.9,34.84,2.5,297.6,1.57
station3,10-03-2022 10:19,79.6,7.4,0.9,26.06,2.9,285.9,1.48
station3,10-03-2022 10:39,96.4,7.3,0.6,32.76,1.3,91.2,1.8
station3,10-03-2022 10:59,58.8,6.1,1.0,32.95,5.0,130.4,1.53
station3,10-03-2022 11:19,56.1,6.5,0.6,27.75,3.6,172.2,1.93
station3,10-03-2022 11:39,34.0,6.2,0.4,27.63,2.6,94.9,0.84
station3,10-03-2022 11:59,84.0,9.1,0.9,39.82,5.2,104.3,1.29
station3,10-03-2022 12:19,94.3,7.9,1.0,24.0,5.9,177.7,1.32
station3,10-03-2022 12:39,70.3,7.0,0.5,22.93,4.3,232.8,0.89
station3,10-03-2022 12:59,84.5,7.0,0.8,33.95,1.3,169.3,1.55
station3,10-03-2022 13:19,91.6,7.6,0.8,37.83,5.9,238.0,0.98
station3,10-03-2022 13:39,67.8,6.3,0.7,29.96,4.4,113.9,1.94
station3,10-03-2022 13:59,86.3,6.7,0.9,21.49,3.5,168.9,1.47
station3,10-03-2022 14:19,92.7,6.8,0.5,25.37,3.0,134.5,1.12
station3,10-03-2022 14:39,92.3,6.2,0.2,27.76,1.5,102.0,1.77
station3,10-03-2022 14:59,71.2,8.4,0.5,36.38,4.1,144.9,1.56
station3,10-03-2022 15:19,41.9,8.7,0.7,28.05,3.2,265.3,1.17
station3,10-03-2022 15:39,66.8,8.2,0.9,38.04,2.0,138.3,1.52
station3,10-03-2022 15:59,49.6,8.7,1.0,39.0,4.3,284.2,1.87
station3,10-03-2022 16:19,70.5,6.1,0.7,25.51,5.6,116.3,1.17
station3,10-03-2022 16:39,61.8,7.5,0.2,21.8,2.7,150.0,1.37
station3,10-03-2022 16:59,64.2,8.8,0.5,21.75,1.7,211.8,1.51
station3,10-03-2022 17:19,70.9,6.8,0.5,28.2,5.2,288.3,1.81
station3,10-03-2022 17:39,37.9,6.8,1.0,39.34,3.8,102.5,1.26
station3,10-03-2022 17:59,50.5,8.8,0.4,38.3,6.0,170.8,1.71
station3,10-03-2022 18:19,77.9,6.8,0.8,23.69,3.6,190.5,1.68
station3,10-03-2022 18:39,97.9,7.4,0.6,22.95,5.1,208.6,1.49
station3,10-03-2022 18:59,86.3,6.4,0.3,27.97,1.9,167.8,0.91
station3,10-03-2022 19:19,37.4,7.8,0.3,24.86,1.1,116.1,1.33
station3,10-03-2022 19:39,34.7,6.9,0.4,28.67,1.6,283.6,1.61
station3,10-03-2022 19:59,39.5,8.2,0.9,21.05,4.8,132.2,0.93
station3,10-03-2022 20:19,100.0,8.8,1.0,27.08,1.3,291.1,1.89
station3,10-03-2022 20:39,31.7,7.5,0.2,24.98,4.3,225.8,1.04
station3,10-03-2022 20:59,44.8,7.4,0.6,26.34,5.4,170.6,1.14
station3,10-03-2022 21:19,91.9,6.3,0.9,36.06,3.4,178.9,1.12
station3,10-03-2022 21:39,91.4,7.1,0.5,33.63,1.9,262.7,0.8
station3,10-03-2022 21:59,82.0,7.4,0.7,36.1,1.1,243.3,1.95
station3,10-03-2022 22:19,86.3,8.4,0.8,31.1,4.2,179.0,1.28
station3,10-03-2022 22:39,73.2,8.3,0.5,37.73,5.2,207.1,1.39
station3,10-03-2022 22:59,85.7,6.2,0.9,24.98,3.3,269.2,1.07
station3,10-03-2022 23:19,98.4,8.2,0.3,23.93,5.9,206.9,1.18
station3,10-03-2022 23:39,92.0,9.0,0.8,36.58,5.2,214.8,0.92
station3,10-03-2022 23:59,51.9,7.4,0.7,30.39,2.6,155.4,1.46
station3,11-03-2022 00:19,51.8,8.5,0.4,32.1,1.6,287.6,1.73
station3,11-03-2022 00:39,68.8,7.7,0.8,24.54,1.4,122.9,1.63
station3,11-03-2022 00:59,74.9,8.4,0.6,29.83,5.5,221.7,1.97
station3,11-03-2022 01:19,69.0,6.7,0.7,39.9,2.8,278.9,1.92
station3,11-03-2022 01:39,38.4,6.6,0.2,33.44,1.4,95.2,1.24
station3,11-03-2022 01:59,56.1,8.7,0.4,27.68,6.2,118.0,0.8
station3,11-03-2022 02:19,61.9,8.4,0.4,34.88,6.1,110.9,1.4
station3,11-03-2022 02:39,50.3,6.9,0.8,36.18,5.9,154.8,1.63
station3,11-03-2022 02:59,62.1,6.3,0.9,32.02,1.2,241.1,1.78
station3,11-03-2022 03:19,53.0,7.8,0.7,25.34,2.4,151.2,1.37
station3,11-03-2022 03:39,40.3,7.4,0.8,25.61,2.9,130.6,0.87
station3,11-03-2022 03:59,97.5,9.2,0.3,25.33,3.2,234.5,1.88
station3,11-03-2022 04:19,42.5,6.2,0.2,22.43,5.2,298.9,1.39
station3,11-03-2022 04:39,86.3,7.2,0.5,30.29,2.2,142.5,1.76
station3,11-03-2022 04:59,56.3,7.3,0.8,37.76,4.4,218.4,1.43
station3,11-03-2022 05:19,97.0,7.4,0.5,31.87,2.3,226.7,1.74
station3,11-03-2022 05:39,55.0,7.1,0.3,36.08,5.3,109.0,0.87
station3,11-03-2022 05:59,82.7,8.9,0.8,28.95,1.2,230.7,1.34
station3,11-03-2022 06:19,62.5,6.2,0.4,23.12,3.8,152.9,1.72
station3,11-03-2022 06:39,39.9,6.9,0.3,31.31,5.4,187.3,0.91
station3,11-03-2022 06:59,66.5,8.8,0.6,34.19,5.7,174.3,0.8
station3,11-03-2022 07:19,91.3,9.1,0.6,30.48,2.2,192.1,1.25
station3,11-03-2022 07:39,78.5,7.6,0.6,26.03,3.4,141.7,1.55
station3,11-03-2022 07:59,33.1,6.3,0.2,37.74,3.9,192.9,1.79
station3,11-03-2022 08:19,41.7,7.0,0.2,31.29,4.7,213.5,1.07
station3,11-03-2022 08:39,45.9,6.8,0.9,38.69,4.0,245.1,0.91
station3,11-03-2022 08:59,78.2,7.5,0.9,38.98,4.7,143.8,1.76
station3,11-03-2022 09:19,71.2,8.5,0.9,31.85,4.2,188.5,1.28
station3,11-03-2022 09:39,86.4,6.7,0.5,34.37,2.8,262.9,0.86
station3,11-03-2022 09:59,62.0,8.6,0.5,35.14,5.1,163.2,1.91
station3,11-03-2022 10:19,36.8,8.9,0.6,28.72,1.8,198.0,1.88
station3,11-03-2022 10:39,37.6,7.3,0.4,39.1,3.5,196.8,1.56
station3,11-03-2022 10:59,87.6,8.0,0.3,33.86,5.6,147.3,1.03
station3,11-03-2022 11:19,72.8,7.8,1.0,25.05,2.1,149.5,1.81
station3,11-03-2022 11:39,94.4,6.4,1.0,29.93,4.6,265.2,1.09
station3,11-03-2022 11:59,72.0,7.7,0.5,34.43,4.0,269.4,1.69
station3,11-03-2022 12:19,55.7,9.2,1.0,28.04,3.5,155.8,1.4
station3,11-03-2022 12:39,65.0,7.9,0.9,23.73,4.1,211.6,1.76
station3,11-03-2022 12:59,99.1,6.3,0.2,27.2,1.8,92.8,1.74
station3,11-03-2022 13:19,78.0,7.0,0.7,39.83,4.3,269.7,1.47
station3,11-03-2022 13:39,95.5,7.9,0.8,35.02,1.0,141.9,1.32
station3,11-03-2022 13:59,88.0,8.3,0.3,31.39,2.1,114.6,1.99
station3,11-03-2022 14:19,58.1,6.5,0.8,32.2,3.7,102.5,1.88
station3,11-03-2022 14:39,45.4,8.2,0.8,33.11,1.8,264.4,1.47
station3,11-03-2022 14:59,35.1,8.7,0.3,37.96,6.1,155.7,1.06
station3,11-03-2022 15:19,53.1,7.1,0.6,25.5,1.7,118.0,1.7
station3,11-03-2022 15:39,89.8,7.6,0.6,32.3,5.0,100.4,1.19
station3,11-03-2022 15:59,77.4,7.4,0.5,37.65,2.6,253.7,1.63
station3,11-03-2022 16:19,98.1,7.1,0.6,22.86,5.8,133.7,1.72
station3,11-03-2022 16:39,48.4,8.5,0.7,36.82,5.1,269.6,1.64
station3,11-03-2022 16:59,68.6,7.8,0.3,24.93,4.0,277.6,1.12
station3,11-03-2022 17:19,48.4,6.3,0.5,33.01,3.4,206.4,1.88
station3,11-03-2022 17:39,90.7,7.4,0.8,25.68,2.1,292.8,1.1
station3,11-03-2022 17:59,91.3,9.0,0.9,29.51,2.5,256.5,1.86
station3,11-03-2022 18:19,45.1,8.3,0.9,36.44,4.0,109.1,1.37
station3,11-03-2022 18:39,59.8,8.9,0.3,37.04,4.7,257.2,1.65
station3,11-03-2022 18:59,64.6,8.1,0.8,38.44,1.5,139.5,1.11
station3,11-03-2022 19:19,80.8,7.1,0.4,23.06,4.2,155.1,0.96
station3,11-03-2022 19:39,78.7,6.6,0.8,21.01,2.8,266.3,1.03
station3,11-03-2022 19:59,90.6,6.7,0.4,37.96,5.9,262.3,1.97
station3,11-03-2022 20:19,98.5,6.7,0.7,30.9,4.1,146.1,1.0
station3,11-03-2022 20:39,45.0,6.9,1.0,38.19,2.0,232.0,1.26
station3,11-03-2022 20:59,52.4,6.9,0.5,38.53,2.7,236.6,1.91
station3,11-03-2022 21:19,39.0,8.6,0.2,22.4,4.2,135.3,1.17
station3,11-03-2022 21:39,79.1,6.2,0.9,38.06,5.7,151.0,1.89
station3,11-03-2022 21:59,51.7,9.0,0.5,28.59,2.1,138.5,1.46
station3,11-03-2022 22:19,54.9,7.5,0.6,23.53,5.3,159.7,0.9
station3,11-03-2022 22:39,83.6,8.6,0.3,36.42,5.3,251.5,1.8
station3,11-03-2022 22:59,52.6,7.5,0.9,34.14,2.0,227.7,1.54
station3,11-03-2022 23:19,82.3,7.9,0.9,37.77,4.7,251.9,1.21
station3,11-03-2022 23:39,37.3,8.2,0.6,28.03,5.0,290.6,1.07
station3,11-03-2022 23:59,99.5,9.1,0.6,23.25,4.7,180.5,1.26
station3,12-03-2022 00:19,44.8,7.5,0.2,34.11,6.1,148.4,1.41
station3,12-03-2022 00:39,40.8,7.5,0.2,25.85,4.9,162.0,1.92
station3,12-03-2022 00:59,83.2,8.8,0.3,30.22,3.9,143.7,1.65
station3,12-03-2022 01:19,84.2,6.6,0.9,37.2,1.2,254.8,1.41
station3,12-03-2022 01:39,89.2,8.2,0.9,22.25,4.4,167.2,1.12
station3,12-03-2022 01:59,48.1,7.5,0.5,32.68,5.3,119.8,1.49
station3,12-03-2022 02:19,50.7,9.0,0.5,39.78,2.6,120.2,1.25
station3,12-03-2022 02:39,50.5,8.4,0.5,37.02,4.1,250.2,1.75
station3,12-03-2022 02:59,87.5,6.5,0.9,38.28,1.2,104.0,0.88
station3,12-03-2022 03:19,89.9,8.6,0.5,26.39,5.1,120.7,0.92
station3,12-03-2022 03:39,72.3,7.2,0.4,27.31,4.0,236.7,1.3
station3,12-03-2022 03:59,84.7,6.5,0.3,35.92,5.8,185.2,1.26
station3,12-03-2022 04:19,58.2,6.4,0.5,28.8,2.9,219.6,1.86
station3,12-03-2022 04:39,92.8,8.4,0.6,22.38,3.8,183.8,0.87
station3,12-03-2022 04:59,78.1,7.0,0.3,24.6,1.6,273.6,1.52
station3,12-03-2022 05:19,66.8,7.6,0.4,37.11,2.6,221.3,1.96
station3,12-03-2022 05:39,42.3,9.0,0.9,25.91,1.8,91.8,1.08
station3,12-03-2022 05:59,53.8,6.5,1.0,25.98,4.7,183.6,0.92
station3,12-03-2022 06:19,79.6,7.2,0.7,38.18,1.1,95.7,1.74
station3,12-03-2022 06:39,94.4,8.5,0.4,26.15,1.5,167.5,1.73
station3,12-03-2022 06:59,72.9,6.9,0.8,37.56,3.8,94.7,1.84
station3,12-03-2022 07:19,38.9,6.3,0.6,25.23,3.4,277.2,1.39
station3,12-03-2022 07:39,93.5,8.1,0.3,39.16,4.2,277.2,1.33
station3,12-03-2022 07:59,58.6,8.2,0.6,39.39,1.9,122.5,0.93
station3,12-03-2022 08:19,84.0,7.4,0.6,34.3,5.1,92.1,1.71
station3,12-03-2022 08:39,38.6,8.7,1.0,37.65,3.2,220.3,1.11
station3,12-03-2022 08:59,70.5,9.1,0.4,28.83,2.1,289.2,1.65
station3,12-03-2022 09:19,36.4,7.5,0.8,31.97,2.7,265.1,1.54
station3,12-03-2022 09:39,34.1,6.3,0.3,38.17,1.9,136.3,1.78
station3,12-03-2022 09:59,62.1,8.6,1.0,33.94,2.1,229.8,0.97
station3,12-03-2022 10:19,72.1,8.9,0.2,27.84,2.7,240.1,1.1
station3,12-03-2022 10:39,85.9,7.6,0.2,37.62,2.9,210.9,0.93
station3,12-03-2022 10:59,78.5,7.8,0.5,36.05,4.6,105.5,1.12
station3,12-03-2022 11:19,82.9,8.0,0.3,30.49,3.1,93.6,1.03
station3,12-03-2022 11:39,76.8,8.9,0.9,28.69,1.1,127.2,1.83
station3,12-03-2022 11:59,58.9,8.4,0.8,32.07,4.4,270.2,0.92
station3,12-03-2022 12:19,73.7,7.5,0.7,33.32,4.3,142.3,0.93
station3,12-03-2022 12:39,82.7,8.0,0.8,34.9,5.3,167.1,1.55
station3,12-03-2022 12:59,39.0,8.0,1.0,33.84,4.7,182.4,1.89
station3,12-03-2022 13:19,31.1,9.1,0.4,28.15,3.1,272.1,1.4
station3,12-03-2022 13:39,55.4,6.9,0.6,27.17,2.7,119.4,1.35
station3,12-03-2022 13:59,95.0,8.2,0.2,31.52,2.4,124.0,1.48
station3,12-03-2022 14:19,63.3,9.0,0.9,36.6,3.8,175.8,1.45
